image,stage,repetitions,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,entropy_mean,entropy_std,mae_mean,mae_std
Baboon,cipher,5,9.523802821115103,0.012396140662895396,0.010077224155650105,0.0012992007284916725,7.999309234272154,6.20677377619204e-05,71.00328521728515,0.12587304926608894
Baboon,marked,5,9.516190215831134,0.012765572290159415,0.008822170873063794,0.00048411421233114914,7.999281036532283,8.367348661046386e-05,71.09038543701172,0.07971901669375227
Baboon,recovered,5,Inf,0,1,0.0,7.358336714515905,0.0,0,0.0
Jetplane,cipher,5,8.009092299115311,0.010761694932401698,0.01032146314172738,0.0005267448191706436,7.99932626442749,8.154117722383467e-05,82.82963180541992,0.15291648443178119
Jetplane,marked,5,8.011013773813252,0.0066916324845014835,0.009655728152585839,0.0007052295591575446,7.9991503719657056,6.456461932361245e-05,82.77801132202148,0.06242944223189849
Jetplane,recovered,5,Inf,0,1,0.0,6.702462718871628,0.0,0,0.0
Tiffany,cipher,5,6.8814121514397915,0.012770651947595505,0.009663744062645118,0.00033289451562218636,7.999257968627679,3.519348456412995e-05,94.76311264038085,0.1722309415790252
Tiffany,marked,5,6.895036369546569,0.009794393909675686,0.00981636698803614,0.0004336614544506604,7.999199441159534,9.686597020059443e-05,94.57173233032226,0.16607649626858723
Tiffany,recovered,5,Inf,0,1,0.0,6.600937903729747,0.0,0,0.0
Man,cipher,5,9.111934236242279,0.009011185112408263,0.009596478186012957,0.000525200143265245,7.999316443008654,2.8545526664427278e-05,73.84177169799804,0.07170705789396611
Man,marked,5,9.094891002124411,0.0032305717209755347,0.009205493070438971,0.0005144042878185907,7.9991487329940645,0.00011904651654603577,73.96768951416016,0.03571323512123452
Man,recovered,5,Inf,0,1,0.0,7.192588108833032,0.0,0,0.0
