image,block_size,payload_bits,auxiliary_bits,ecc_bpp
Man,8,854702,568467,3.2604293823242188
Jetplane,8,1011607.0,550346,3.8589744567871094
Baboon,8,470493,547674,1.7947883605957031
Tiffany,8,956786,546333,3.6498489379882812
Man,16,872799,473755,3.3294639587402344
Jetplane,16,1035906.0,444416,3.9516677856445312
Baboon,16,491502,415535,1.8749313354492188
Tiffany,16,980588,428029,3.7406463623046875
Man,32,860734,468493,3.2834396362304688
Jetplane,32,1028360.0,438847,3.922882080078125
Baboon,32,481436,398067,1.8365325927734375
Tiffany,32,971673,422221,3.7066383361816406
Man,64,850939,483057,3.246074676513672
Jetplane,64,1018282.0,485566,3.8844375610351562
Baboon,64,472397,406572,1.8020515441894531
Tiffany,64,960289,418677,3.6632118225097656
